cct_type,cct_element,f_bus,t_bus,f_bus_x,f_bus_y,t_bus_x,t_bus_y,linestring,slijnem_b,slijnem_f,slijnem_b_p,slijnem_f_p,slijnem_b_m,slijnem_f_m,slijnem_b_r,slijnem_f_r
branch,xf_4254_4377_4432_1_3winding_transformer_br2,1724,151,-4.614,-7.606,-4.498,-7.462,"LINESTRING(-4.614 -7.606, -4.498 -7.462)",12.766525650102464,12.766524973862658,15.31892559855009,15.318925031416539,10.852186381719957,10.852185889942602,15.318925598522664,15.318925030882893
branch,Dec27_line_4297_to_4334_1_dec,1300,352,-3.768,-4.724,-3.518,-5.06,"LINESTRING(-3.768 -4.724, -3.518 -5.06)",26.44372247221124,26.46081927484199,31.902729433969284,31.90954999928876,22.39064970969161,22.4180674268355,31.90272943377118,31.92120394766321
branch,line_3072_to_3116_1_cp,1466,1592,-2.3,8.106,-2.508,8.1,"LINESTRING(-2.3 8.106, -2.508 8.1)",20.610364204134974,20.610364258202285,24.732452920175106,24.732452569370288,17.518803687346615,17.518803661642192,24.732452642069568,24.732452275556664
branch,line_3334_to_3358_1_cp,871,1686,-2.782,6.956,-3.038,7.012,"LINESTRING(-2.782 6.956, -3.038 7.012)",12.84407575518408,12.844075334179275,15.381026640292692,15.37050984751267,10.93479435148217,10.93483596175027,15.381026640223514,15.3698995343063
branch,xf_1347_to_1594_1_2winding_transformer,795,116,5.008,5.224,5.442,5.378,"LINESTRING(5.008 5.224, 5.442 5.378)",3.2792896837351355,3.2779001036924256,3.9391797300966545,3.936973191142671,2.785333749758091,2.7844172304961106,3.9395955908340117,3.93676341599792
branch,xf_4279_to_4451_3_2winding_transformer,18,65,-4.166,-4.882,-4.298,-4.906,"LINESTRING(-4.166 -4.882, -4.298 -4.906)",0.16103308065320698,0.1485127764269873,0.16215804273537263,0.15781637181578914,0.157963666898854,0.14429936950568387,0.16093236640387085,0.15269367446583995
branch,line_3048_to_3471_1_cp,721,558,-1.106,6.038,-0.956,5.86,"LINESTRING(-1.106 6.038, -0.956 5.86)",35.22180307847555,31.618765531552384,38.31903778656295,34.150762113895084,33.94958959422097,30.73837956833307,38.35442033399464,32.179090419693345
branch,line_3284_to_3646_2_cp,1148,1548,-2.716,10.018,-2.784,9.656,"LINESTRING(-2.716 10.018, -2.784 9.656)",20.606403922739418,1.4426088852387164,10.818493716326822,1.7320924265131303,35.49431909139021,9.91734523926944,9.299699606966103,10.365751303490839
branch,xf_2202_to_2042_1_2winding_transformer,1004,896,1.442,-8.51,1.38,-8.664,"LINESTRING(1.442 -8.51, 1.38 -8.664)",39.60110777263422,40.27054304877611,36.4449779820144,38.302717482607704,35.980956436741415,38.37827783710722,48.93778630910387,43.235468118734325
branch,xf_2270_to_2078_4_2winding_transformer,611,235,-0.914,-6.888,-0.964,-7.066,"LINESTRING(-0.914 -6.888, -0.964 -7.066)",2.4401201005096516,2.7546532898320963,2.425575397968876,2.7585785906494307,2.4440377059706657,2.7450620843228934,2.516910931213829,2.7440776436635215
branch,xf_3201_to_3202_1_2winding_transformer,460,1255,-1.518,11.834,-1.502,12.086,"LINESTRING(-1.518 11.834, -1.502 12.086)",35.3745782491413,40.01738177739743,41.79611809530717,40.59835374342714,20.471752424543705,28.681698174791226,41.822246291329215,39.693407241796805
